name,price,spec_score,user_rating,cpu1,cpu2,ram,hdd,ssd,gpu,display,os,warranty
Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),73990,70,4.55,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
Colorful Evol P15 23-HE55D16512A-G-IND Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),67990,69,4.25,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
Honor MagicBook Pro 16 2025 Hunter Edition Gaming Laptop (Intel Core Ultra 9-285H/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics),143999,68,4.3,Intel 285H,"16 Cores (6P + 8E + 2LP-E), 16 Threads",32 GB LPDDR5x RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 5070,"16 inches, 3072 x 1920 pixels",Windows 11 OS,NULL
Honor MagicBook Art 14 2024 Laptop (Snapdragon X Elite/ 32GB/ 1TB SSD/ Win11 Home),89990,54,4.4,Qualcomm Snapdragon X Elite,NULL,32 GB LPDDR5 RAM,NULL,1 TB SSD,Qualcomm Adreno Graphics,"14.6 inches, 3120 x 2080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
Honor MagicBook Pro 16 2025 Laptop (Intel Core Ultra 9-285H/ 32GB/ 1TB SSD/ Win11),96999,60,4.05,Intel 285H,"16 Cores (6P + 8E + 2LP-E), 16 Threads",32 GB LPDDR5x RAM,NULL,1 TB SSD,Intel Arc 140T GPU,"16 inches, 3072 x 1920 pixels",Windows 11 OS,NULL
Honor MagicBook Art 14 2024 Laptop (Intel Core Ultra 5 125H/ 32GB/ 1TB SSD/ Win11 Home),97990,72,4.3,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",32 GB LPDDR5 RAM,NULL,1 TB SSD,Intel ARC Graphics,"14.6 inches, 3120 x 2080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
Honor MagicBook X14 Pro 2024 ‎FRI-G56 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),48990,54,4,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDRx4 RAM,NULL,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X16 Pro 2024 BRN-G58 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),51290,52,4.55,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8 GB LPDDR4x RAM,NULL,512 GB SSD,Intel UHD Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X16 Pro 2024 ‎BRN-G56 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),58990,54,4.4,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR4x RAM,NULL,512 GB SSD,Intel UHD Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X14 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),43990,56,4,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,‎Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X15 Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win10 Home),24279,51,4.4,10th Gen Intel Core i3 10110U ,"Dual Core, 4 Threads",8 GB DDR4 RAM,NULL,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,NULL
Honor MagicBook 15 Laptop (AMD Ryzen 5/ 8GB/ 256GB SSD/ Win10),29062,52,4.45,3rd Gen AMD Ryzen 5  3500U,"Quad Core, 8 Threads",8 GB DDR4 RAM,NULL,256 GB SSD,AMD Radeon Vega 8,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
Honor MagicBook X14 Pro 2024 FRI-G58 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),44990,52,4.6,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8 GB LPDDRx4 RAM,NULL,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),46490,54,4.1,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR4x RAM,NULL,512 GB SSD,Intel UHD Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),46990,52,4.6,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB LPDDR4x RAM,NULL,512 GB SSD,Intel UHD Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook 15 BMH-WFQ9HN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),42990,55,4.35,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X14 2023 ‎‎FRI-F58 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),51990,59,4.5,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X16 2023 ‎‎BRN-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),53479,61,4.05,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel UHD Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Honor MagicBook X14 2023 ‎FRI-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),47990,61,4.3,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
